Country,Gold,Silver,Bronze
Bahamas,27.87,6.97,20.91
Hungary,18.74,15.94,18.22
Finland,18.23,15.34,21.48
Sweden,14.65,17.43,17.72
New Zealand,11.20,6.84,10.99
Norway,11.07,9.41,9.04
East Germany*,9.50,8.01,7.88
Jamaica,8.78,12.16,8.44
Denmark,8.29,13.47,13.64
Bulgaria,7.77,12.67,11.80
Estonia,7.54,6.78,12.81
Cuba,7.50,6.27,7.50
Australia,6.55,6.82,8.31
Switzerland,6.12,9.13,8.43
Netherlands,5.54,6.07,7.12
Romania,4.68,5.09,6.34
Great Britain,4.20,4.65,4.64
Slovenia,3.85,4.33,5.29
Belgium,3.71,4.66,5
Italy,3.57,3.11,3.52
Croatia,3.41,3.17,3.41
France,3.40,3.88,4.20
Greece,3.36,4.22,3.93
United States,3.21,2.53,2.23
Czechoslovakia*,3.14,3.14,2.88
Germany**,2.73,3.09,3.37
Georgia,2.51,3.01,4.51
Ireland,2.23,2.03,2.84
Lithuania,2.20,2.57,4.78
Austria,2.11,3.78,4.55
Poland,1.90,2.35,3.62
Canada,1.88,2.86,3.89
South Korea,1.87,1.77,1.95
Slovakia,1.83,2.56,1.47
Czechia,1.77,1.96,2.52
Soviet Union* **,1.51,1.23,1.12
Belarus,1.38,3.17,4.44
Japan,1.34,1.19,1.41
Yugoslavia*,1.21,1.33,1.33
Spain,1.03,1.54,1.01
Russia*****,1.01,0.86,1.05
West Germany*,0.89,1.06,1.28
Ukraine,0.80,0.82,1.55
Kazakhstan,0.80,1.12,1.86
Azerbaijan,0.69,1.38,2.76
Serbia,0.69,0.80,1.26
Kenya,0.65,0.78,0.67
North Korea,0.62,0.62,0.85
Portugal,0.49,0.88,1.37
Turkey,0.49,0.31,0.44
Argentina,0.46,0.58,0.66
South Africa,0.46,0.56,0.49
Tunisia,0.42,0.25,0.59
Uzbekistan,0.30,0.18,0.60
Chinese Taipei (Taiwan),0.29,0.46,0.76
Iran,0.29,0.27,0.35
Ethiopia,0.20,0.10,0.20
Morocco,0.19,0.14,0.33
China,0.18,0.14,0.12
Brazil,0.17,0.20,0.33
Thailand,0.14,0.11,0.24
Algeria,0.11,0.09,0.18
Mexico,0.10,0.19,0.28
Colombia,0.10,0.26,0.29
Egypt,0.08,0.11,0.19
Indonesia,0.03,0.05,0.05
India,0.01,0.01,0.01
